uid,Cond,ResponseRegion,LatentPOPRegion,JointMass,ResponseMass,PosteriorGivenResponse
AQ,S2C2NR,Central,Central,0.665905066803733,0.712714125692599,0.934322813030572
AQ,S2C2NR,Central,Shoulder,0.0468089910235331,0.712714125692599,0.0656770917484556
AQ,S2C2NR,Central,Tail,6.7865332461222e-08,0.712714125692599,9.52209729185206e-08
AQ,S2C2NR,Shoulder,Central,0.11219200850249,0.271005475121869,0.413984287409832
AQ,S2C2NR,Shoulder,Shoulder,0.158137310354051,0.271005475121869,0.583520721428002
AQ,S2C2NR,Shoulder,Tail,0.000676156265327595,0.271005475121869,0.00249499116216576
AQ,S2C2NR,Tail,Central,9.01849365157307e-06,0.0162803991855314,0.000553947943708155
AQ,S2C2NR,Tail,Shoulder,0.00438728531467717,0.0162803991855314,0.269482662229572
AQ,S2C2NR,Tail,Tail,0.0118840953772027,0.0162803991855314,0.72996338982672
AQ,S4C2NR,Central,Central,0.662636299006976,0.709767338230846,0.933596494674792
AQ,S4C2NR,Central,Shoulder,0.0471309521883824,0.709767338230846,0.0664033826998298
AQ,S4C2NR,Central,Tail,8.70354883679912e-08,0.709767338230846,1.2262537831754e-07
AQ,S4C2NR,Shoulder,Central,0.113631080226599,0.271883553743577,0.417940249279545
AQ,S4C2NR,Shoulder,Shoulder,0.157525564195285,0.271883553743577,0.579386145378447
AQ,S4C2NR,Shoulder,Tail,0.000726909321693124,0.271883553743577,0.00267360534200865
AQ,S4C2NR,Tail,Central,1.09405637602826e-05,0.0183491080255768,0.000596244991583927
AQ,S4C2NR,Tail,Shoulder,0.00454409606159587,0.0183491080255768,0.247646700605929
AQ,S4C2NR,Tail,Tail,0.0137940714002207,0.0183491080255768,0.751757054402488
AQ,S4C2R,Central,Central,0.66592568007972,0.713226510390354,0.933680493333393
AQ,S4C2R,Central,Shoulder,0.0473007531276537,0.713226510390354,0.0663193984499617
AQ,S4C2R,Central,Tail,7.71829802724966e-08,0.713226510390354,1.08216645270594e-07
AQ,S4C2R,Shoulder,Central,0.114178132253442,0.272518262180633,0.418974241725355
AQ,S4C2R,Shoulder,Shoulder,0.157706667185177,0.272518262180633,0.578701280138959
AQ,S4C2R,Shoulder,Tail,0.000633462742014058,0.272518262180633,0.00232447813568611
AQ,S4C2R,Tail,Central,1.09922826425794e-05,0.014255227429012,0.000771105385537943
AQ,S4C2R,Tail,Shoulder,0.00447230414472085,0.014255227429012,0.313730816782262
AQ,S4C2R,Tail,Tail,0.0097719310016486,0.014255227429012,0.6854980778322
AQ,S4C4NR,Central,Central,0.58726501385833,0.630505542334707,0.931419272991224
AQ,S4C4NR,Central,Shoulder,0.0432402156852884,0.630505542334707,0.068580230913076
AQ,S4C4NR,Central,Tail,3.12791088182123e-07,0.630505542334707,4.96095699688673e-07
AQ,S4C4NR,Shoulder,Central,0.101096194971745,0.257340151949234,0.392850451847438
AQ,S4C4NR,Shoulder,Shoulder,0.153375857976828,0.257340151949234,0.596004381030615
AQ,S4C4NR,Shoulder,Tail,0.00286809900066162,0.257340151949234,0.0111451671219477
AQ,S4C4NR,Tail,Central,9.7555023341514e-06,0.112154305716058,8.69828605497275e-05
AQ,S4C4NR,Tail,Shoulder,0.00618910128248326,0.112154305716058,0.055183804517967
AQ,S4C4NR,Tail,Tail,0.105955448931241,0.112154305716058,0.944729212621483
AQ,S6C2NR,Central,Central,0.6570677555327,0.704451450050744,0.932736749261242
AQ,S6C2NR,Central,Shoulder,0.047383573695562,0.704451450050744,0.0672630792258981
AQ,S6C2NR,Central,Tail,1.20822482759868e-07,0.704451450050744,1.71512859759413e-07
AQ,S6C2NR,Shoulder,Central,0.114907621485956,0.272487580650491,0.421698564065361
AQ,S6C2NR,Shoulder,Shoulder,0.156739554865456,0.272487580650491,0.575217242897025
AQ,S6C2NR,Shoulder,Tail,0.000840404299078634,0.272487580650491,0.00308419303761439
AQ,S6C2NR,Tail,Central,1.34401207040919e-05,0.0230609692987653,0.000582808143489938
AQ,S6C2NR,Tail,Shoulder,0.00476541390997617,0.0230609692987653,0.2066441287978
AQ,S6C2NR,Tail,Tail,0.0182821152680851,0.0230609692987653,0.79277306305871
AQ,S6C2R,Central,Central,0.663777471413284,0.711510845889861,0.932912653753186
AQ,S6C2R,Central,Shoulder,0.0477332785193293,0.711510845889861,0.0670872113827457
AQ,S6C2R,Central,Tail,9.59572475822032e-08,0.711510845889861,1.34864068673743e-07
AQ,S6C2R,Shoulder,Central,0.116045940485389,0.273801324473472,0.423832648394046
AQ,S6C2R,Shoulder,Shoulder,0.157108853861608,0.273801324473472,0.573806040433635
AQ,S6C2R,Shoulder,Tail,0.000646530126475084,0.273801324473472,0.00236131117231949
AQ,S6C2R,Tail,Central,1.35708117148885e-05,0.0146878296366661,0.000923949422793611
AQ,S6C2R,Tail,Shoulder,0.00461737997237138,0.0146878296366661,0.314367751164865
AQ,S6C2R,Tail,Tail,0.0100568788525798,0.0146878296366661,0.684708299412341
AQ,S6C4NR,Central,Central,0.552662837569606,0.594605421311332,0.929461484476163
