Stage,ErrorRegion,MeanRT,MedianRT,Q10RT,Q90RT
Observed,Central,1.41655967975656,1.3879111111323,1.15807200003094,1.71642822218948
H0a POPCDM,Central,1.4350989734149,1.40368194989939,1.15568194989938,1.75034861656605
Observed,Shoulder,1.45042877561189,1.41756666670905,1.17491488892714,1.77241888885313
H0a POPCDM,Shoulder,1.44714989081529,1.41168194989939,1.15990417212161,1.77301528323272
Observed,Tail,1.54099438505362,1.50032727269151,1.22469181822918,1.91299590906609
H0a POPCDM,Tail,1.44808989995689,1.41145972767716,1.16012639434383,1.77812639434383
