uid,Cond,ErrorRegion,Stage,nObs,ModelMass,MeanRT,Q10RT,MedianRT,Q90RT
PG,S6C2R,Shoulder,H0a POPCDM,NaN,1.63694177899255,1.44864687312755,1.12000008624415,1.40000008624415,1.84000008624415
PG,S6C2R,Tail,Observed,9,NaN,1.5798222222858,1.14855999994278,1.56019999980927,2.11654000034332
PG,S6C2R,Tail,H0a POPCDM,NaN,0.13688155178672,1.44192088202333,1.12000008624415,1.39000008624415,1.83000008624415
PG,S6C4NR,Central,Observed,230,NaN,1.35549478258257,1.11249999976158,1.3212999997139,1.62879999995232
PG,S6C4NR,Central,H0a POPCDM,NaN,4.24009769567158,1.43430478885949,1.11000008624415,1.39000008624415,1.81000008624415
PG,S6C4NR,Shoulder,Observed,130,NaN,1.40136692307546,1.12114999961854,1.35035000014305,1.77025
PG,S6C4NR,Shoulder,H0a POPCDM,NaN,1.50515102416043,1.4452581500534,1.12000008624415,1.40000008624415,1.83000008624415
PG,S6C4NR,Tail,Observed,139,NaN,1.50398920867426,1.18458000011444,1.44839999961853,1.85037999992371
PG,S6C4NR,Tail,H0a POPCDM,NaN,2.15765061048077,1.43743796350081,1.11000008624415,1.39000008624415,1.82000008624415
PG,S6C4R,Central,Observed,331,NaN,1.47373141991624,1.15304000024795,1.42290000009537,1.87345999984741
PG,S6C4R,Central,H0a POPCDM,NaN,5.43792303919724,1.43415635671608,1.11000008624415,1.39000008624415,1.81000008624415
PG,S6C4R,Shoulder,Observed,110,NaN,1.49324818187193,1.15915000033378,1.4285,1.82665000009536
PG,S6C4R,Shoulder,H0a POPCDM,NaN,1.58872123026473,1.44747220371049,1.12000008624415,1.40000008624415,1.84000008624415
PG,S6C4R,Tail,Observed,58,NaN,1.56950344826435,1.20518999986649,1.5045,2.05269999952316
PG,S6C4R,Tail,H0a POPCDM,NaN,0.876255060850808,1.43788202360264,1.11000008624415,1.39000008624415,1.82000008624415
PG,S6C6NR,Central,Observed,173,NaN,1.36286763005174,1.09618000011444,1.32790000009537,1.6883
PG,S6C6NR,Central,H0a POPCDM,NaN,3.15207861378716,1.43453738740246,1.11000008624415,1.39000008624415,1.81000008624415
PG,S6C6NR,Shoulder,Observed,121,NaN,1.46534710742619,1.19391999988556,1.41890000009537,1.85233999996185
PG,S6C6NR,Shoulder,H0a POPCDM,NaN,1.42924181134409,1.44302265793673,1.12000008624415,1.40000008624415,1.83000008624415
PG,S6C6NR,Tail,Observed,205,NaN,1.51915951221513,1.2155,1.46319999980927,1.85989999961853
PG,S6C6NR,Tail,H0a POPCDM,NaN,3.32157890518153,1.43733155636966,1.11000008624415,1.39000008624415,1.82000008624415
YL,S2C2NR,Central,Observed,325,NaN,1.29308184615502,1.07969999980927,1.2782999997139,1.53159999990463
YL,S2C2NR,Central,H0a POPCDM,NaN,5.41815239109194,1.29016433830553,1.05603257936463,1.27603257936463,1.54603257936463
YL,S2C2NR,Shoulder,Observed,158,NaN,1.28065126581735,1.06481000013351,1.26359999990463,1.53033000001907
YL,S2C2NR,Shoulder,H0a POPCDM,NaN,2.32845497936615,1.29186740039572,1.05603257936463,1.27603257936463,1.54603257936463
YL,S2C2NR,Tail,Observed,17,NaN,1.32598823536144,1.0984200000763,1.3407000002861,1.63483999986649
YL,S2C2NR,Tail,H0a POPCDM,NaN,0.163346296570969,1.29311543789531,1.06603257936463,1.27603257936463,1.54603257936463
