uid,Measure,MAE,MaxAbsError
AQ,Angle,0.0462555442433464,0.110685233854991
AQ,RT,0.0167160815980021,0.083104902204663
ES,Angle,0.0464182589551652,0.111431199373333
ES,RT,0.0258805880630407,0.146561892448117
HC,Angle,0.0522011886815093,0.113442054923541
HC,RT,0.0226233480077619,0.110324689472629
PG,Angle,0.0554445492624428,0.119778879313101
PG,RT,0.0204134334609363,0.067612284934833
YL,Angle,0.0481082715498172,0.122617347912088
YL,RT,0.0262181451743683,0.117107200383974
