uid,bestNLL,secondGap,within1,converged,failed,maxIter,nearestParam,minNormDist
AQ,2947.03735986164,2.4480099533489,1,16,0,126,a,0.000173245164601315
ES,1005.3215253091,0.277350315712738,2,16,0,105,vnormS2,0.00367715014435165
HC,1137.655654325,7.85853978631235,1,16,0,132,vnormS2,0.187541544412663
PG,2780.4544019274,8.18148680509876,1,16,0,133,a,0.000112617409320966
YL,2314.65080753185,6.31303411249792,1,16,0,238,eta1,0.0559866068732923
