"subexperiment","participant_id","redundancy","tab_away_count","target_orientation","started_outof_center","too_fast_trigger","num_items","response_RT_from_start","response_error_deg","duration_ms","response_orientation_360","response_RT","leave_center_RT","cue_type","too_slow_trigger","trial_event","trial_number"
2,"09",1,2,NA,"[False]","[False]",4,"[507.6999999284744]","[-26.952978546312693]",50,NA,"[87]","[420.6999999284744]","R-cue","[False]","stimulus_wheel_display_event",91
2,"09",0,2,NA,"[False]","[False]",6,"[645.1000000238419]","[-45.960569583985375]",50,NA,"[59]","[586.1000000238419]","NR-cue","[False]","stimulus_wheel_display_event",92
2,"09",0,2,NA,"[False]","[False]",6,"[957.3999999761581]","[66.03943041601462]",50,NA,"[517.2999999523163]","[440.10000002384186]","NR-cue","[False]","stimulus_wheel_display_event",93
2,"09",1,2,NA,"[False]","[False]",4,"[1245.5]","[117.22997154686942]",250,NA,"[330.1999999284744]","[915.3000000715256]","R-cue","[False]","stimulus_wheel_display_event",94
2,"09",1,2,NA,"[False]","[False]",6,"[1067.5]","[1.021398864896156]",250,NA,"[381.2999999523163]","[686.2000000476837]","R-cue","[False]","stimulus_wheel_display_event",95
2,"09",0,2,NA,"[False]","[False]",6,"[510.7999999523163]","[0.7322654987436295]",250,NA,"[49.60000002384186]","[461.1999999284744]","Baseline","[False]","stimulus_wheel_display_event",96
2,"09",0,2,NA,"[False]","[False]",6,"[1354.7999999523163]","[148.7207199443543]",250,NA,"[516.5]","[838.2999999523163]","Baseline","[False]","stimulus_wheel_display_event",97
2,"09",1,2,NA,"[True]","[False]",4,"[683.1000000238419]","[2.017027860731787]",150,NA,"[231.89999997615814]","[None]","R-cue","[False]","stimulus_wheel_display_event",98
2,"09",1,2,NA,"[False]","[False]",4,"[892.3999999761581]","[67.11447294534128]",50,NA,"[351.89999997615814]","[540.5]","R-cue","[False]","stimulus_wheel_display_event",99
2,"09",0,2,NA,"[False]","[False]",6,"[955.7000000476837]","[24.9688182978787]",150,NA,"[476.10000002384186]","[479.60000002384186]","Baseline","[False]","stimulus_wheel_display_event",100
2,"09",0,2,NA,"[False]","[False]",6,"[609.8999999761581]","[42.31930861118292]",150,NA,"[149.89999997615814]","[460]","NR-cue","[False]","stimulus_wheel_display_event",101
2,"09",0,2,NA,"[False]","[False]",6,"[618.1999999284744]","[-115.50322823307533]",250,NA,"[269.39999997615814]","[348.7999999523163]","Baseline","[False]","stimulus_wheel_display_event",102
2,"09",0,2,NA,"[False]","[False]",4,"[1355.2000000476837]","[176.8823656731172]",50,NA,"[394.10000002384186]","[961.1000000238419]","Baseline","[False]","stimulus_wheel_display_event",103
2,"09",1,2,NA,"[False]","[False]",4,"[1120.6000000238419]","[148.22966197454645]",50,NA,"[532.8999999761581]","[587.7000000476837]","R-cue","[False]","stimulus_wheel_display_event",104
2,"09",0,2,NA,"[False]","[False]",6,"[605.3000000715256]","[-97.1329094806922]",50,NA,"[100.60000002384186]","[504.7000000476837]","Baseline","[False]","stimulus_wheel_display_event",105
2,"09",0,2,NA,"[False]","[False]",4,"[1431.1000000238419]","[52.36256800279395]",150,NA,"[427.3000000715256]","[1003.7999999523163]","Baseline","[False]","stimulus_wheel_display_event",106
2,"09",0,2,NA,"[False]","[False]",4,"[653.1000000238419]","[-101.54767429577333]",150,NA,"[85.39999997615814]","[567.7000000476837]","Baseline","[False]","stimulus_wheel_display_event",107
2,"09",0,2,NA,"[False]","[False]",4,"[676.3000000715256]","[-55.0293843500167]",50,NA,"[234]","[442.3000000715256]","NR-cue","[False]","stimulus_wheel_display_event",108
2,"09",0,2,NA,"[False]","[False]",6,"[598.5999999046326]","[-37.38952864698172]",150,NA,"[100.89999997615814]","[497.6999999284744]","Baseline","[False]","stimulus_wheel_display_event",109
2,"09",1,2,NA,"[False]","[False]",6,"[535.7999999523163]","[-106.7682889320206]",150,NA,"[45]","[490.7999999523163]","R-cue","[False]","stimulus_wheel_display_event",110
2,"09",1,2,NA,"[False]","[False]",4,"[570.3000000715256]","[21.956052970203075]",150,NA,"[129.5]","[440.8000000715256]","R-cue","[False]","stimulus_wheel_display_event",111
2,"09",0,2,NA,"[False]","[False]",4,"[890.8000000715256]","[51.96205139766619]",150,NA,"[283.10000002384186]","[607.7000000476837]","NR-cue","[False]","stimulus_wheel_display_event",112
2,"09",1,2,NA,"[False]","[False]",6,"[905.8000000715256]","[-28.153555393989336]",50,NA,"[458.10000002384186]","[447.7000000476837]","R-cue","[False]","stimulus_wheel_display_event",113
2,"09",1,2,NA,"[False]","[False]",6,"[629.7999999523163]","[-15.875639040594024]",250,NA,"[323.39999997615814]","[306.39999997615814]","R-cue","[False]","stimulus_wheel_display_event",114
2,"09",0,2,NA,"[False]","[False]",6,"[700.6000000238419]","[-174.97843011828388]",50,NA,"[342.2999999523163]","[358.3000000715256]","NR-cue","[False]","stimulus_wheel_display_event",115
2,"09",1,2,NA,"[False]","[False]",6,"[856]","[-13.50265945199817]",150,NA,"[559.3999999761581]","[296.60000002384186]","R-cue","[False]","stimulus_wheel_display_event",116
2,"09",1,2,NA,"[False]","[False]",6,"[575.8999999761581]","[17.344110605517983]",250,NA,"[255.30000007152557]","[320.59999990463257]","R-cue","[False]","stimulus_wheel_display_event",117
2,"09",1,2,NA,"[False]","[False]",4,"[520.0999999046326]","[-18.145678013822874]",50,NA,"[33]","[487.09999990463257]","R-cue","[False]","stimulus_wheel_display_event",118
2,"09",0,2,NA,"[False]","[False]",6,"[700.8000000715256]","[-164.73703406796534]",50,NA,"[271.60000002384186]","[429.2000000476837]","Baseline","[False]","stimulus_wheel_display_event",119
2,"09",1,2,NA,"[False]","[False]",4,"[716.5]","[-7.993419735932946]",150,NA,"[303.59999990463257]","[412.90000009536743]","R-cue","[False]","stimulus_wheel_display_event",120
2,"09",0,2,NA,"[False]","[False]",4,"[675.6000000238419]","[-139.88222794952677]",50,NA,"[284.60000002384186]","[391]","NR-cue","[False]","stimulus_wheel_display_event",121
2,"09",0,2,NA,"[False]","[False]",6,"[876.2999999523163]","[-18.004112312331074]",50,NA,"[350.1999999284744]","[526.1000000238419]","Baseline","[False]","stimulus_wheel_display_event",122
2,"09",0,2,NA,"[True]","[False]",6,"[578]","[-120.65588939448202]",50,NA,"[122.20000004768372]","[None]","Baseline","[False]","stimulus_wheel_display_event",123
2,"09",0,2,NA,"[False]","[False]",6,"[808]","[-141.1665570294182]",50,NA,"[263.89999997615814]","[544.1000000238419]","Baseline","[False]","stimulus_wheel_display_event",124
2,"09",0,2,NA,"[False]","[False]",4,"[895.8999999761581]","[78.23024263135332]",250,NA,"[376.5]","[519.3999999761581]","NR-cue","[False]","stimulus_wheel_display_event",125
2,"09",0,2,NA,"[False]","[False]",6,"[827.7000000476837]","[-86.06746343806049]",250,NA,"[193.20000004768372]","[634.5]","NR-cue","[False]","stimulus_wheel_display_event",126
2,"09",1,2,NA,"[False]","[False]",4,"[809]","[-145.42352121625]",50,NA,"[321.89999997615814]","[487.10000002384186]","R-cue","[False]","stimulus_wheel_display_event",127
2,"09",1,2,NA,"[False]","[False]",6,"[943]","[14.029436225377196]",150,NA,"[433.5]","[509.5]","R-cue","[False]","stimulus_wheel_display_event",128
2,"09",1,2,NA,"[False]","[False]",4,"[1004.3999999761581]","[6.017111618789215]",250,NA,"[323.60000002384186]","[680.7999999523163]","R-cue","[False]","stimulus_wheel_display_event",129
2,"09",0,2,NA,"[False]","[False]",4,"[753.6999999284744]","[140.00365210349509]",250,NA,"[183.19999992847443]","[570.5]","Baseline","[False]","stimulus_wheel_display_event",130
2,"09",0,2,NA,"[False]","[False]",4,"[593.3999999761581]","[157.8505239136548]",50,NA,"[185]","[408.39999997615814]","Baseline","[False]","stimulus_wheel_display_event",131
2,"09",0,2,NA,"[False]","[False]",4,"[855.3000000715256]","[-87.83035842343014]",50,NA,"[149.89999997615814]","[705.4000000953674]","Baseline","[False]","stimulus_wheel_display_event",132
2,"09",1,2,NA,"[False]","[False]",4,"[1026.8999999761581]","[-23.715085331919596]",150,NA,"[416.59999990463257]","[610.3000000715256]","R-cue","[False]","stimulus_wheel_display_event",133
2,"09",1,2,NA,"[False]","[False]",6,"[1016.7000000476837]","[-29.629762183019693]",50,NA,"[350.10000002384186]","[666.6000000238419]","R-cue","[False]","stimulus_wheel_display_event",134
2,"09",1,2,NA,"[False]","[False]",4,"[621.6000000238419]","[150.03118170212133]",50,NA,"[141.29999995231628]","[480.3000000715256]","R-cue","[False]","stimulus_wheel_display_event",135
2,"09",0,2,NA,"[False]","[False]",6,"[557.8999999761581]","[151.81449438071374]",150,NA,"[50]","[507.89999997615814]","NR-cue","[False]","stimulus_wheel_display_event",136
2,"09",1,2,NA,"[False]","[False]",6,"[853.3999999761581]","[-71.595035196221]",50,NA,"[366]","[487.39999997615814]","R-cue","[False]","stimulus_wheel_display_event",137
2,"09",0,2,NA,"[False]","[False]",6,"[721.4000000953674]","[-156.2718575844827]",150,NA,"[100.30000007152557]","[621.1000000238419]","NR-cue","[False]","stimulus_wheel_display_event",138
2,"09",1,2,NA,"[False]","[False]",6,"[779.8999999761581]","[74.22700591508442]",50,NA,"[150.19999992847443]","[629.7000000476837]","R-cue","[False]","stimulus_wheel_display_event",139
2,"09",0,2,NA,"[False]","[False]",4,"[694.1000000238419]","[-150.26076671245212]",150,NA,"[49.89999997615814]","[644.2000000476837]","Baseline","[False]","stimulus_wheel_display_event",140
2,"09",0,2,NA,"[False]","[False]",6,"[786.2999999523163]","[-137.27854580963879]",150,NA,"[329.6999999284744]","[456.60000002384186]","Baseline","[False]","stimulus_wheel_display_event",141
2,"09",0,2,NA,"[False]","[False]",4,"[967.2999999523163]","[-59.73048393461565]",250,NA,"[450.5]","[516.7999999523163]","NR-cue","[False]","stimulus_wheel_display_event",142
2,"09",1,2,NA,"[False]","[False]",6,"[1098.1999999284744]","[24.146982758621107]",250,NA,"[432.89999997615814]","[665.2999999523163]","R-cue","[False]","stimulus_wheel_display_event",143
2,"09",0,2,NA,"[False]","[False]",6,"[560.5]","[89.11953956715479]",50,NA,"[83.20000004768372]","[477.2999999523163]","NR-cue","[False]","stimulus_wheel_display_event",144
2,"09",0,2,NA,"[False]","[False]",4,"[884.7999999523163]","[-16.761200940764866]",150,NA,"[389.89999997615814]","[494.89999997615814]","NR-cue","[False]","stimulus_wheel_display_event",145
2,"09",1,2,NA,"[False]","[False]",4,"[649.2999999523163]","[30.19986804148982]",50,NA,"[133.79999995231628]","[515.5]","R-cue","[False]","stimulus_wheel_display_event",146
