"subexperiment","participant_id","redundancy","tab_away_count","target_orientation","started_outof_center","too_fast_trigger","num_items","response_RT_from_start","response_error_deg","duration_ms","response_orientation_360","response_RT","leave_center_RT","cue_type","too_slow_trigger","trial_event"
3,"651033d039c135459ac83d8f",1,2,28,"[False]","[False]",6,"[1799.5]","[28.24548280546287]",150,236.245482805463,"[683.3000000119209]","[1116.199999988079]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,7,"[False]","[False]",6,"[1866.5]","[12.572197803963718]",150,354.427802196036,"[650.0999999940395]","[1216.4000000059605]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,75,"[True]","[False]",6,"[3914.300000011921]","[51.07869834555834]",250,126.078698345558,"[3133.0999999940395]","[None]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,125,"[False]","[False]",4,"[2787]","[61.05769579452101]",250,6.057695794521,"[1849.6000000238419]","[937.3999999761581]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,140,"[False]","[False]",6,"[1308.5]","[14.893920669735394]",150,305.106079330265,"[550.1999999880791]","[758.3000000119209]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,141,"[True]","[False]",6,"[2428.5]","[13.165456517190933]",50,154.165456517191,"[1399.800000011921]","[None]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,19,"[False]","[False]",4,"[1797.7000000178814]","[29.098456967124434]",250,228.098456967124,"[799.5999999940395]","[998.1000000238419]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,108,"[False]","[False]",6,"[2019]","[7.733228977708222]",150,115.733228977708,"[932.5]","[1086.5]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,90,"[False]","[False]",4,"[2010.5]","[21.54097591853838]",50,68.4590240814616,"[949.9000000059605]","[1060.5999999940395]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",1,2,143,"[False]","[False]",6,"[1549.8999999761581]","[11.749064522347908]",250,131.250935477652,"[466.7999999821186]","[1083.0999999940395]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,114,"[False]","[False]",6,"[4009]","[32.56743986159904]",250,146.567439861599,"[2566.5]","[1442.5]","NR-cue","[True]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,73,"[False]","[False]",6,"[3031.800000011921]","[65.49804317150108]",50,7.50195682849893,"[1500]","[1531.800000011921]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,33,"[True]","[False]",4,"[2622]","[29.28500548936836]",150,242.285005489368,"[1583.6000000238419]","[None]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,168,"[False]","[False]",4,"[3967.699999988079]","[69.52880770915158]",250,237.528807709152,"[516.2999999821186]","[3451.4000000059605]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,0,"[False]","[False]",6,"[3404]","[11.720811498809553]",50,168.27918850119,"[1116.9000000059605]","[2287.0999999940395]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,34,"[False]","[False]",6,"[2792.4000000059605]","[31.66269414087617]",50,182.337305859124,"[883]","[1909.4000000059605]","NR-cue","[False]","orientation_response_event"
