uid,bestNLL,secondGap,within1,converged,failed,maxIter,nearestParam,minNormDist
AQ,2949.64964681536,0.100832280702889,3,16,0,132,a,0.00383930234199366
ES,1017.30440149547,2.83807647980836,1,16,0,110,psi,0.000872572258506954
HC,1147.12237057884,10.7404109450556,1,16,0,162,psi,0.102096922213749
PG,2800.08387237893,1.45415975833157,1,16,0,113,psi,0.000377134371249088
YL,2344.38419825978,0.944141311631938,2,16,0,88,a,1.20155076012275e-08
