uid,nObs,nFree,NLL,AIC,BIC,bestExitflag,elapsedSeconds
AQ,4488,17,3089.13832556219,6212.27665112439,6321.23241272683,2,189.93962375
ES,4488,17,1237.58472073922,2509.16944147844,2618.12520308088,2,157.989092875
HC,4495,17,1211.73099801096,2457.46199602192,2566.44425211932,2,267.129605125
PG,4492,17,3081.45131339114,6196.90262678228,6305.87353315187,2,162.192912958333
YL,4497,17,2550.98978969214,5135.97957938428,5244.96939775938,2,182.139060583333
