uid,bestNLL,secondGap,within1,converged,failed,maxIter,nearestParam,minNormDist
AQ,3089.13832556219,2.2492953068836,1,16,0,163,a,9.93438775193706e-08
ES,1237.58472073922,3.15882363593937,1,16,0,91,psi_S6C2R,0.0014572008773383
HC,1211.73099801096,1.01780940216668,1,16,0,237,psi_S6C6NR,0.00106860967904598
PG,3081.45131339114,31.8868722799893,1,16,0,98,psi_S6C2R,0.000717412288448571
YL,2550.98978969214,8.23314953523095,1,16,0,111,psi_S6C2R,0.00113204111239562
