uid,nObs,nFree,NLL,AIC,BIC,bestExitflag,elapsedSeconds
AQ,4488,17,2949.64964681536,5933.29929363072,6042.25505523316,2,194.234728083333
ES,4488,17,1017.30440149547,2068.60880299095,2177.56456459339,2,172.450760333333
HC,4495,17,1147.12237057884,2328.24474115768,2437.22699725508,2,210.348380583333
PG,4492,17,2800.08387237893,5634.16774475786,5743.13865112746,2,168.042077125
YL,4497,17,2344.38419825978,4722.76839651955,4831.75821489465,2,164.696590333333
