ID,CueType,DurationF,Duration_ms,estimate,lower,upper,boot_se,n1,n10,excludes_0
AQ,NR,50ms,50,6.3387045854748365,-20.53828364880881,32.36913737867518,13.186519036728667,30,30,FALSE
AQ,NR,100ms,100,13.124782529395304,-8.55296571982237,34.60125855056366,10.96571797488621,30,30,FALSE
AQ,NR,150ms,150,28.27258138481755,1.8658294987994601,59.937765075003675,15.605666271895618,30,30,TRUE
AQ,NR,200ms,200,-2.7067600399819725,-23.800941253799323,16.85106157242723,10.453851995161015,30,30,FALSE
AQ,NR,250ms,250,8.98652754213127,-20.102746912691334,40.74257877681593,14.961419524239936,30,30,FALSE
AQ,NR,300ms,300,-18.418826426472435,-43.19571040356591,6.359581218708042,12.785621316298577,30,30,FALSE
AQ,NR,350ms,350,6.183828419418532,-17.071844360207866,29.68400004758253,11.560367999241189,30,30,FALSE
AQ,R,50ms,50,8.614695612957654,-2.7508842820416146,20.092352903851225,5.812936072966241,30,30,FALSE
AQ,R,100ms,100,4.177694908474045,-21.154849027272192,32.750323489812295,14.133558026120852,30,30,FALSE
AQ,R,150ms,150,10.8242172887376,0.24371524427270488,23.118350236269894,6.0024314076965695,30,30,TRUE
AQ,R,200ms,200,23.854352621208253,4.608539201866601,45.868009239017894,10.483839873637937,30,30,TRUE
AQ,R,250ms,250,5.44252190358527,-0.2693007318566406,11.310983850476404,3.135585861386373,30,30,FALSE
AQ,R,300ms,300,-18.2099963846438,-38.93342653983627,3.334464146340726,10.809379864163686,30,30,FALSE
AQ,R,350ms,350,13.100374636432631,-0.32059459343160956,28.430068172384715,7.874359256730657,30,30,FALSE
HC,NR,50ms,50,11.203527671981973,-13.080761991360957,37.21645171660813,12.764353712113271,30,30,FALSE
HC,NR,100ms,100,6.843327079995035,-19.969449044999788,37.96906633542617,14.564723562221605,30,30,FALSE
HC,NR,150ms,150,12.33917731213996,-13.601386129690722,40.641820274202566,13.4992104558833,30,30,FALSE
HC,NR,200ms,200,2.7917860337223743,-17.886708766953177,25.209132106095485,11.254874229609584,30,30,FALSE
HC,NR,250ms,250,-17.66652403151169,-37.71802394100948,0.22278836820686046,9.791362407120745,30,30,FALSE
HC,NR,300ms,300,18.426368202359424,-0.1529975660584937,39.15948656886877,9.958422649474736,30,30,FALSE
HC,NR,350ms,350,-15.9531105753614,-36.91343103976299,4.038603205319877,10.496260442705143,30,30,FALSE
HC,R,50ms,50,24.72887746981628,2.7566571458897995,44.98366059016569,10.324833155461645,30,30,TRUE
HC,R,100ms,100,13.104548739334618,-11.181867271271681,37.41984657491892,12.556045372610107,30,30,FALSE
HC,R,150ms,150,18.82929165393323,0.09629150525976682,33.936809816158615,8.462632928174523,30,30,TRUE
HC,R,200ms,200,23.60330113846278,1.8043445101540863,43.8025706049835,10.607004094429087,30,30,TRUE
HC,R,250ms,250,-0.9108315595135146,-8.132119452837129,5.561161986644006,3.4528176044682533,30,30,FALSE
HC,R,300ms,300,-7.9877364303727205,-24.686618771148034,7.7222323804057815,8.36183357990385,30,30,FALSE
HC,R,350ms,350,12.477344709275908,-7.1662862481032406,30.875215229743745,9.616890147833645,30,30,FALSE
YILIU,NR,50ms,50,35.121903211500516,5.011297822623428,73.44421461431315,17.315734956778293,30,30,TRUE
YILIU,NR,100ms,100,4.340648635754391,-15.376405456126406,27.650254241481793,11.272401973291087,30,30,FALSE
YILIU,NR,150ms,150,24.471813420878618,-1.8767940395449432,53.628861883510424,14.031599454924782,29,30,FALSE
YILIU,NR,200ms,200,6.769519280700543,-21.064802762579827,35.38534487119136,14.282847172806013,30,30,FALSE
YILIU,NR,250ms,250,13.2922449653517,-16.198486434736115,40.601763913508634,14.521026274087445,30,30,FALSE
YILIU,NR,300ms,300,-3.892750415404606,-29.034237613604077,20.04009535936893,13.03181958899195,30,30,FALSE
YILIU,NR,350ms,350,9.742745238573782,-18.13660795530067,35.24501086268701,13.64187687957512,30,30,FALSE
YILIU,R,50ms,50,11.844211793240959,3.318584333058111,19.693866156562365,4.227854026669886,30,30,TRUE
YILIU,R,100ms,100,23.845926545900696,8.425591376346418,37.59131921412146,7.495042412869304,30,30,TRUE
YILIU,R,150ms,150,6.025105653528033,-6.015418147913779,18.667811059575513,6.165772322415534,30,30,FALSE
YILIU,R,200ms,200,13.062372774153122,-2.636377479832019,30.682315803318545,8.492735332948435,30,30,FALSE
YILIU,R,250ms,250,20.25758306166901,5.2597562800194355,36.03847125218515,8.309091312551816,30,30,TRUE
YILIU,R,300ms,300,-0.6672987428073807,-6.288854797123635,5.065953804725923,2.7630269623539347,30,30,FALSE
YILIU,R,350ms,350,15.420783294511127,-0.20432508974895672,32.345827283741414,9.614590139403171,30,30,FALSE
