ID,CueType,DurationF,Duration_ms,short_duration,median,lower,upper,p_gt_0,p_lt_0,p_in_rope
AQ,NR,50ms,50,TRUE,-7.3517192618683005,-14.833831490937943,-0.27020352094258543,0.020875,0.979125,0.113375
AQ,NR,100ms,100,TRUE,1.8956122454629085,-4.37644897046684,8.01799820525632,0.728375,0.271625,0.5775
AQ,NR,150ms,150,TRUE,6.497073716907898,-1.5866623981738435,14.690377190457154,0.940125,0.059875,0.1945
AQ,NR,200ms,200,FALSE,2.5206551149719356,-5.038975355447033,9.80442472193855,0.748125,0.251875,0.471625
AQ,NR,250ms,250,FALSE,5.973102383264167,-1.2044485796605313,13.119319539098065,0.94975,0.05025,0.201625
AQ,NR,300ms,300,FALSE,0.4322672155948917,-6.212786660611277,6.719701969819071,0.547625,0.452375,0.630375
AQ,NR,350ms,350,FALSE,-1.7921811282014373,-8.050404322809623,4.432020650186319,0.289,0.711,0.5895
AQ,R,50ms,50,TRUE,-1.6864446150018324,-6.295474904611279,2.9826843872973536,0.235375,0.764625,0.686375
AQ,R,100ms,100,TRUE,2.8289095917988583,-1.6843852350852584,7.345573599779603,0.89125,0.10875,0.52275
AQ,R,150ms,150,TRUE,1.0557688314655378,-3.361363754967901,5.516642428103687,0.677,0.323,0.763125
AQ,R,200ms,200,FALSE,2.422366469058894,-1.8613346455840958,6.7899284572333105,0.872375,0.127625,0.5985
AQ,R,250ms,250,FALSE,0.7383744194135162,-3.356125904985646,4.841313266662559,0.641875,0.358125,0.8195
AQ,R,300ms,300,FALSE,-0.37248891519642324,-5.0668946806697965,4.293582881380904,0.436375,0.563625,0.786375
AQ,R,350ms,350,FALSE,1.0402500611575007,-3.527755096413106,5.646322535440443,0.664625,0.335375,0.761875
HC,NR,50ms,50,TRUE,2.4840285929303914,-3.9490607347589757,8.95903212538938,0.78025,0.21975,0.513
HC,NR,100ms,100,TRUE,-4.511590523462683,-10.258455237568343,1.5332008950732108,0.073125,0.926875,0.300625
HC,NR,150ms,150,TRUE,8.490625331131351,1.8514238212251481,14.74045012674429,0.9945,0.0055,0.048125
HC,NR,200ms,200,FALSE,4.486400879989449,-2.439071646422299,11.285328262877337,0.894625,0.105375,0.318
HC,NR,250ms,250,FALSE,-1.0267912993840689,-6.966192881639975,4.884090851485668,0.3655,0.6345,0.646625
HC,NR,300ms,300,FALSE,-2.6766629991859654,-7.767288249536432,2.0902877525374395,0.137875,0.862125,0.545875
HC,NR,350ms,350,FALSE,-4.016784899077208,-9.789363226538127,1.7811737878334368,0.0875,0.9125,0.3595
HC,R,50ms,50,TRUE,1.043224590650869,-4.148722789253327,6.197624303331207,0.65425,0.34575,0.7145
HC,R,100ms,100,TRUE,1.9812226353656888,-2.5067146792430925,6.361664704757628,0.8075,0.1925,0.660125
HC,R,150ms,150,TRUE,-0.47694993649134343,-4.966548685730033,3.9009764291035784,0.419625,0.580375,0.80475
HC,R,200ms,200,FALSE,2.526913074159448,-2.012093966878204,7.06475638433773,0.856125,0.143875,0.571
HC,R,250ms,250,FALSE,-2.082266836968911,-6.356878227318824,2.2366089005493746,0.175625,0.824375,0.65825
HC,R,300ms,300,FALSE,0.7004420255147288,-3.606020117691562,4.967381528960114,0.62725,0.37275,0.805375
HC,R,350ms,350,FALSE,-2.3426808977021603,-6.667641306371866,2.0521795682767103,0.144375,0.855625,0.60975
YILIU,NR,50ms,50,TRUE,2.5704304020652113,-4.5288139378272545,8.833528947818012,0.765375,0.234625,0.487125
YILIU,NR,100ms,100,TRUE,-2.105995027273427,-8.58725758862828,3.9607661118787894,0.25325,0.74675,0.556875
YILIU,NR,150ms,150,TRUE,5.930801478784231,1.4688755193125427,10.52195595080022,0.994375,0.005625,0.0915
YILIU,NR,200ms,200,FALSE,3.760440251902075,-1.3992543679856049,8.878196218600136,0.922375,0.077625,0.3825
YILIU,NR,250ms,250,FALSE,4.722847918482032,0.14683686834569873,9.199204551352766,0.97775,0.02225,0.229625
YILIU,NR,300ms,300,FALSE,-0.27921559851506395,-4.72120182566427,3.9960761272225485,0.451875,0.548125,0.815875
YILIU,NR,350ms,350,FALSE,1.4259105927111904,-3.294826570119802,6.080664730980616,0.71975,0.28025,0.707125
YILIU,R,50ms,50,TRUE,3.1358227070113793,0.15510342436182625,6.23144211338908,0.97975,0.02025,0.46375
YILIU,R,100ms,100,TRUE,1.9315783819247225,-0.8790812980396303,4.642145617804529,0.915375,0.084625,0.7695
YILIU,R,150ms,150,TRUE,1.5620242991570539,-1.3013285525433285,4.365062804666023,0.8605,0.1395,0.84725
YILIU,R,200ms,200,FALSE,2.9898022312617885,0.14565591995256527,5.751432807716457,0.979875,0.020125,0.503375
YILIU,R,250ms,250,FALSE,1.3623546831190203,-1.3365764889574616,4.092769578449475,0.838875,0.161125,0.879875
YILIU,R,300ms,300,FALSE,1.0924918258333807,-1.591385420781405,3.7297325573449402,0.7935,0.2065,0.92175
YILIU,R,350ms,350,FALSE,1.8498523615636233,-0.6956484120517925,4.389677687034795,0.920125,0.079875,0.81525
