ID,CueType,DurationF,Duration_ms,short_duration,median,lower,upper,p_gt_0,p_lt_0,p_in_rope
AQ,NR,short_mean,NA,TRUE,0.3437331008042257,-4.295055326590087,5.027481320021832,0.5555,0.4445,0.79375
AQ,R,short_mean,NA,TRUE,0.7390045536477017,-2.4829005183231856,4.075312413526639,0.6775,0.3225,0.90475
HC,NR,short_mean,NA,TRUE,2.1359801401676126,-1.499907990550244,5.868183427912885,0.87925,0.12075,0.67325
HC,R,short_mean,NA,TRUE,0.8198147508616174,-1.966708387391697,3.6278767561410534,0.720125,0.279875,0.930125
YILIU,NR,short_mean,NA,TRUE,2.127494863003226,-1.4907432988104556,5.5884657530992055,0.875375,0.124625,0.687
YILIU,R,short_mean,NA,TRUE,2.2251890980380935,0.3592163631697687,4.079965364065763,0.989125,0.010875,0.803625
