uid,start_date_local,session,age,colorblind,gender,num_items,ColorN,redundancy,response_error,response_RT,rotation,response_degrees,response_radians,target_angle_norotation,response_derotated_degress,target_color,target_patchN,Patch_Locations1,Patch_Locations2,Patch_Locations3,Patch_Locations4,Patch_Locations5,Patch_Locations6,Patch_Color_Angle1,Patch_Color_Angle2,Patch_Color_Angle3,Patch_Color_Angle4,Patch_Color_Angle5,Patch_Color_Angle6,all_patch_colors,leave_center_RT,started_outof_center,too_fast_trigger,too_slow_trigger,timeout,tab_away_count,points,Gestalt,num_itemsi,ColorNi,redundanti,Cnd
YL,2024-04-18T12:15:51,1,41,No,Man,Six Items,Six Colors,Non-Redundant Cued,-4.35072977241873,1353.59999990463,162,291.649270227581,1.19294528066962,134,129.649270227581,"[0, 186.29, 78.43]",1,145,322,86,204,263,27,134,246,191,313,99,25,"[[0, 186.29, 78.43], [0, 178.29, 255], [0, 241.44, 239.77], [239.57, 0, 224.87], [151.72, 179.15, 0], [225.24, 96.93, 0]]",1031.2999997139,FALSE,FALSE,FALSE,FALSE,1,98,NA,6,6,0,9
YL,2024-04-18T12:15:51,1,41,No,Man,Four Items,Four Colors,Non-Redundant Cued,8.99933858653787,1819.39999961853,162,311.999338586538,0.83776958479991,141,149.999338586538,"[0, 196.97, 113.37]",1,211,33,122,300,NaN,NaN,141,337,13,273,NaN,NaN,"[[0, 196.97, 113.37], [248.77, 0, 174.42], [231.93, 70.49, 65.61], [144.75, 93.28, 255]]",1202.39999961853,FALSE,FALSE,FALSE,FALSE,1,95,NA,4,4,0,4
YL,2024-04-18T12:15:51,1,41,No,Man,Two Items,Two Colors,Non-Redundant Cued,-5.05326887025495,1352.19999980927,162,145.946731129745,-2.54725099073695,349,343.946731129745,"[245.32, 20.8, 142.76]",1,291,112,NaN,NaN,NaN,NaN,349,222,NaN,NaN,NaN,NaN,"[[245.32, 20.8, 142.76], [0, 230.32, 255]]",1049.09999990463,FALSE,FALSE,FALSE,FALSE,1,97,NA,2,2,0,1
YL,2024-04-18T12:15:51,1,41,No,Man,Four Items,Four Colors,Non-Redundant Cued,17.5570713756367,1509,162,286.557071375637,1.28182091680233,107,124.557071375637,"[132.41, 179.71, 0]",1,238,327,60,149,NaN,NaN,107,186,338,148,NaN,NaN,"[[132.41, 179.71, 0], [0, 239.74, 231], [248.59, 0, 171.88], [0, 206.52, 139.19]]",1125.69999980927,FALSE,FALSE,FALSE,FALSE,1,90,NA,4,4,0,4
YL,2024-04-18T12:15:51,1,41,No,Man,Four Items,Four Colors,Non-Redundant Cued,-14.6192430711928,1375.90000009537,162,147.380756928807,-2.57227946248913,0,345.380756928807,"[240.5, 48.91, 112.22]",1,221,43,132,310,NaN,NaN,0,146,70,341,NaN,NaN,"[[240.5, 48.91, 112.22], [0, 203.9, 132.37], [196.91, 167.33, 0], [247.86, 0, 164.01]]",1088.30000019073,FALSE,FALSE,FALSE,FALSE,1,92,NA,4,4,0,4
YL,2024-04-18T12:15:51,1,41,No,Man,Two Items,Two Colors,Non-Redundant Cued,-15.5126118028564,1175.89999961853,162,187.487388197144,3.01091307717467,41,25.4873881971436,"[220.12, 134.55, 0]",1,59,238,NaN,NaN,NaN,NaN,41,77,NaN,NaN,NaN,NaN,"[[220.12, 134.55, 0], [188.46, 171.69, 0]]",856.599999904633,FALSE,FALSE,FALSE,FALSE,1,91,NA,2,2,0,1
YL,2024-04-18T12:15:51,1,41,No,Man,Four Items,Four Colors,Non-Redundant Cued,1.36265012809599,1988.40000009537,162,336.362650128096,0.412549581710584,173,174.362650128096,"[0, 232.09, 205.12]",1,137,48,315,226,NaN,NaN,173,17,208,116,NaN,NaN,"[[0, 232.09, 205.12], [228.77, 76.04, 43.9], [0, 240.77, 255], [102.97, 178.95, 0]]",788.299999713898,FALSE,FALSE,FALSE,FALSE,1,99,NA,4,4,0,4
YL,2024-04-18T12:15:51,1,41,No,Man,Four Items,Four Colors,Non-Redundant Cued,33.4838389324193,1305.5,162,19.4838389324193,-0.340057140298973,184,217.483838932419,"[0, 238.85, 227.3]",1,116,27,205,294,NaN,NaN,184,114,49,338,NaN,NaN,"[[0, 238.85, 227.3], [110.56, 179.25, 0], [215.48, 146.62, 0], [248.59, 0, 171.88]]",1139.59999990463,FALSE,FALSE,FALSE,FALSE,1,81,NA,4,4,0,4
YL,2024-04-18T12:15:51,1,41,No,Man,Six Items,Six Colors,Non-Redundant Cued,-34.1506223864705,1430.2999997139,162,198.849377613529,2.81260895228199,71,36.8493776135295,"[195.78, 168.02, 0]",1,78,255,137,196,19,314,71,191,131,256,330,19,"[[195.78, 168.02, 0], [0, 241.44, 239.77], [0, 181.33, 56.25], [0, 132.69, 255], [248.89, 0, 191.19], [227.1, 78.68, 27.84]]",1313.39999961853,FALSE,FALSE,FALSE,FALSE,1,81,NA,6,6,0,9
YL,2024-04-18T12:15:51,1,41,No,Man,Two Items,Two Colors,Non-Redundant Cued,30.5615103253285,1545.80000019073,162,150.561510325328,-2.62779408195242,318,348.561510325329,"[243.94, 0, 216.01]",1,311,132,NaN,NaN,NaN,NaN,318,51,NaN,NaN,NaN,NaN,"[[243.94, 0, 216.01], [214.12, 149.2, 0]]",1280.40000009537,FALSE,FALSE,FALSE,FALSE,1,83,NA,2,2,0,1
