ID,effect,estimate,boot_mean,boot_se,lower,upper,n_boot,parameter,excludes_0
AQ,gain50_kappa_NR_minus_R,-9.09810948225427,-9.548633105824239,1.6678158924508297,-13.789608653693232,-7.179369464880725,60,kappa,TRUE
AQ,gain50_gamma_NR_minus_R,-0.004189591050384613,-0.002953198138965302,0.0038687818740468847,-0.010772361488512334,-3.704587549029438e-4,60,gamma,TRUE
AQ,gain50_beta_NR_minus_R,0.1508612102788699,0.13845471868249454,0.046892123389827095,0.028728463920522695,0.20938957641260014,60,beta,TRUE
AQ,NR_350_minus_50_kappa,1.8398773509613564,1.8870848470167039,1.141941297986673,0.2699202081790535,4.5273329758859955,60,kappa,TRUE
AQ,NR_linear_trend_kappa,7.452676953163463,7.5537110341792575,4.887198275589367,-0.5466934851045184,18.38079830008376,60,kappa,FALSE
AQ,NR_350_minus_50_gamma,0.09054297899749189,0.07665129947348812,0.06764611388543008,0.005003873321301218,0.22671052620727855,60,gamma,TRUE
AQ,NR_linear_trend_gamma,0.07589976526736156,0.05003355858125127,0.23209996322063262,-0.38970852111081467,0.5329029657478852,60,gamma,FALSE
AQ,NR_350_minus_50_beta,-0.09872018259103268,-0.08154645478442384,0.05742417610591548,-0.1622163387309961,0.025064161329895206,60,beta,FALSE
AQ,NR_linear_trend_beta,-0.22096427581229525,-0.1619176553539494,0.20460644126871438,-0.483179594857998,0.21472639493732998,60,beta,FALSE
AQ,R_350_minus_50_kappa,2.5601422186495384,2.4815700076059626,2.8466545623904267,-2.3676837448943613,7.379071610374494,60,kappa,FALSE
AQ,R_linear_trend_kappa,14.710537947811005,13.33572943806518,11.586570661571773,-12.23689148825628,31.82596984897411,60,kappa,FALSE
AQ,R_350_minus_50_gamma,-0.004189591050384613,-0.002953198138965302,0.0038687818740468847,-0.010772361488512334,-3.704587549029438e-4,60,gamma,TRUE
AQ,R_linear_trend_gamma,-0.11649957516714883,-0.10948866162800609,0.07572002732323817,-0.2490036443923875,-0.010184666920357768,60,gamma,TRUE
AQ,R_350_minus_50_beta,-0.005128540589786096,-0.004249668580076376,0.01872718075981159,-0.05323956671819451,0.023946121749932367,60,beta,FALSE
AQ,R_linear_trend_beta,-0.060748234065147844,-0.0559589594075291,0.07044953224367724,-0.21164550747791627,0.047085366739639666,60,beta,FALSE
AQ,catchup_average_kappa,-0.720264867688182,-0.5944851605892604,3.0376920863231587,-5.517700455949581,5.41259301424132,60,kappa,FALSE
AQ,catchup_average_gamma,-0.0947325700478765,-0.07960449761245345,0.06718470980816794,-0.2285567319434575,-0.00596466877220629,60,gamma,TRUE
AQ,catchup_average_beta,0.09359164200124659,0.07729678620434743,0.06245645667360627,-0.0564503163026586,0.17734823871266828,60,beta,FALSE
AQ,catchup_early_kappa,1.2132582926796802,2.571540479962152,7.406367894786066,-7.438528027896195,18.4327960745412,60,kappa,FALSE
AQ,catchup_early_gamma,-0.2633574280263716,-0.2539338348398386,0.1474862599050451,-0.5907042458539701,-0.0524817359650731,60,gamma,TRUE
AQ,catchup_early_beta,7.852800534348427e-4,-0.017396326921629828,0.09148860434714784,-0.15624164971670385,0.17047163940586224,60,beta,FALSE
AQ,catchup_late_kappa,-2.433043277387793,-2.902427195647502,4.586238633469895,-12.331314092464956,5.3580033863764625,60,kappa,FALSE
