CueType,DurationF,Session_z,kappa,gamma,beta,p_target,log_kappa,circSD_deg,ID,SessionSlice
NR,50ms,0,3.37577864589443,4.4896007486616666e-24,0.17959564598387534,0.8204043540161247,1.216626007609704,34.483442108201984,AQ,average
NR,100ms,0,4.5287325483831475,0.1377670401309213,0.07985702162284342,0.7823759382462352,1.5104421097023413,28.819850426084347,AQ,average
NR,150ms,0,5.43860718371478,0.18525868912390436,0.12344325119368786,0.6912980596824079,1.693522995680588,25.931697866563375,AQ,average
NR,200ms,0,5.235893038896412,0.18567546372523763,0.0787046158122897,0.7356199204624727,1.6555374198207429,26.49755231222839,AQ,average
NR,250ms,0,5.685444254343716,0.2377096213282095,3.737184685503969e-4,0.7619166602032401,1.7379092691526299,25.290504001323246,AQ,average
NR,300ms,0,5.3718364632083775,0.013676988166211676,0.17898992396581354,0.8073330878679748,1.6811698357568767,26.113941654306327,AQ,average
NR,350ms,0,5.215655996855786,0.09054297899749189,0.08087546339284266,0.8285815576096655,1.6516648709264075,26.556160931122886,AQ,average
R,50ms,0,12.4738881281487,0.004189591050384613,0.028734435705005435,0.9670759732446099,2.5236375096613335,16.571030439781573,AQ,average
R,100ms,0,12.63428750591805,0.037143999160164434,0.030166441521705827,0.9326895593181298,2.536414348741095,16.460782144829185,AQ,average
R,150ms,0,14.018949212414945,0.038376814833744034,0.00950727844618556,0.9521159067200704,2.6404099296118035,15.59259101727897,AQ,average
R,200ms,0,16.593067531228396,0.014075129772651795,0.010627343814625953,0.9752975264127223,2.808984989534865,14.288582737828149,AQ,average
R,250ms,0,19.1543689734607,0.008734011138077908,3.1284089346799914e-20,0.9912659888619221,2.952530834433816,13.269954423216022,AQ,average
R,300ms,0,13.581633271326364,8.712165395676623e-92,0.012238774596903826,0.9877612254030962,2.60871838524669,15.851770417503714,AQ,average
R,350ms,0,15.034030346798238,1.6250850882160204e-80,0.02360589511521934,0.9763941048847806,2.710316321297755,15.036934788051939,AQ,average
NR,50ms,0,3.9820273983973498,0.016664315553371282,0.09988507139153167,0.883450613055097,1.3817910861801994,31.12378125823046,HC,average
NR,100ms,0,5.129378876886155,0.10037830521425137,0.007576882047142762,0.8920448127386058,1.634984575221932,26.810605384833146,HC,average
NR,150ms,0,4.007175320831353,0.18063890494797147,7.810799680830061e-32,0.8193610950520285,1.388086584335815,31.005056608301533,HC,average
NR,200ms,0,4.391326438500241,4.118226669857826e-26,0.12358278818467987,0.8764172118153202,1.4796313314490164,29.349065015954217,HC,average
NR,250ms,0,3.635805264860358,0.07773298928559337,0.0021803094673471723,0.9200867012470595,1.2908306173618238,32.91381243105309,HC,average
NR,300ms,0,6.9585005693855395,1.0378634457108686e-54,0.08054785676645491,0.9194521432335451,1.9399640157036697,22.61413576880713,HC,average
NR,350ms,0,6.818373778946686,0.08201645024983593,0.1134927943160676,0.8044907554340964,1.9196209945871305,22.867148194499585,HC,average
R,50ms,0,9.109526058473795,1.3863167849103174e-25,0.04314568599208543,0.9568543140079145,2.209320685601738,19.55823025000894,HC,average
R,100ms,0,10.940250727489392,0.056624653615997715,0.015882168120784183,0.9274931782632182,2.39244871514889,17.751189968758748,HC,average
R,150ms,0,10.65900096892658,0.0035190216829989124,3.7499446970710397e-57,0.9964809783170011,2.3664046966091985,17.996373452823878,HC,average
R,200ms,0,10.657736083653177,0.020869092916505252,0.0025243716238300476,0.9766065354596647,2.3662860212911356,17.99749927958307,HC,average
R,250ms,0,12.511308364526519,9.679237237506431e-4,3.837085265652715e-4,0.9986483677496841,2.526632904503865,16.545111610298957,HC,average
R,300ms,0,10.04690829884489,0.021312374274232587,0.019170072933571716,0.9595175527921956,2.3072649552209357,18.567288103434958,HC,average
R,350ms,0,10.646631712232072,0.010398887584017674,0.0012469119459775815,0.9883542004700048,2.3652435709792474,18.00739197575957,HC,average
NR,50ms,0,6.3005612312082935,8.110070224225618e-14,0.25995544632844353,0.7400445536714755,1.8406387137484914,23.88299164525795,YILIU,average
NR,100ms,0,5.351711233726553,0.1859730474572111,0.11096052679302312,0.7030664257497657,1.6774163665359618,26.16965166789716,YILIU,average
NR,150ms,0,7.079008800154649,0.12156160538728658,0.16370098094583554,0.7147374136668779,1.9571338979265598,22.40322538853646,YILIU,average
NR,200ms,0,9.418766721258883,0.11132047524575925,0.20284104358428745,0.6858384811699533,2.2427041587072316,19.21389682993712,YILIU,average
NR,250ms,0,13.7490921597226,0.2578530433652931,0.08545010178661012,0.6566968548480968,2.6209727971854035,15.7510020518008,YILIU,average
NR,300ms,0,10.107465200619659,0.1372378822146236,0.14821734114215512,0.7145447766432212,2.3132742796002885,18.508359838663996,YILIU,average
NR,350ms,0,7.128353914593605,0.15836268339440918,0.1151955024600944,0.7264418141454965,1.964080340253768,22.31857216743411,YILIU,average
R,50ms,0,24.00704922813019,0.051743714184987244,0.009018795720417257,0.9392374900945955,3.1783475050600636,11.819766203094964,YILIU,average
