uid,Cond,Alpha,Kappa,TotalAngleNLL
AQ,S2C2NR,271.837014093435,12.0386383180363,2256.13873953049
AQ,S4C2NR,218.609722024897,12.0386383180363,2256.13873953049
AQ,S4C2R,300,12.0386383180363,2256.13873953049
AQ,S4C4NR,21.585253935572,12.0386383180363,2256.13873953049
AQ,S6C2NR,167.784723725736,12.0386383180363,2256.13873953049
AQ,S6C2R,286.996934208272,12.0386383180363,2256.13873953049
AQ,S6C4NR,14.4391722895492,12.0386383180363,2256.13873953049
AQ,S6C4R,57.2853762081092,12.0386383180363,2256.13873953049
AQ,S6C6NR,5.95501008922044,12.0386383180363,2256.13873953049
ES,S2C2NR,300,15.3001473378408,2043.98682999825
ES,S4C2NR,97.9662913414098,15.3001473378408,2043.98682999825
ES,S4C2R,133.408833080865,15.3001473378408,2043.98682999825
ES,S4C4NR,27.3718356018783,15.3001473378408,2043.98682999825
ES,S6C2NR,162.898252959016,15.3001473378408,2043.98682999825
ES,S6C2R,299.999999999423,15.3001473378408,2043.98682999825
ES,S6C4NR,24.3886795856834,15.3001473378408,2043.98682999825
ES,S6C4R,10.7195606725999,15.3001473378408,2043.98682999825
ES,S6C6NR,4.97827035701013,15.3001473378408,2043.98682999825
HC,S2C2NR,299.99999999975,9.85626433135622,2364.13464373527
HC,S4C2NR,53.7713529990036,9.85626433135622,2364.13464373527
HC,S4C2R,299.999999999881,9.85626433135622,2364.13464373527
HC,S4C4NR,46.2976844233339,9.85626433135622,2364.13464373527
HC,S6C2NR,57.8473024959814,9.85626433135622,2364.13464373527
HC,S6C2R,300,9.85626433135622,2364.13464373527
HC,S6C4NR,22.5577206124172,9.85626433135622,2364.13464373527
HC,S6C4R,185.16880466802,9.85626433135622,2364.13464373527
HC,S6C6NR,14.3432784678227,9.85626433135622,2364.13464373527
PG,S2C2NR,151.370908744242,16.3187882049557,2527.9705672004
PG,S4C2NR,74.5400443712915,16.3187882049557,2527.9705672004
PG,S4C2R,200.010736656791,16.3187882049557,2527.9705672004
PG,S4C4NR,10.0840481790598,16.3187882049557,2527.9705672004
PG,S6C2NR,90.4103090423987,16.3187882049557,2527.9705672004
PG,S6C2R,181.273881340853,16.3187882049557,2527.9705672004
PG,S6C4NR,6.07217902941225,16.3187882049557,2527.9705672004
PG,S6C4R,20.7845841603123,16.3187882049557,2527.9705672004
PG,S6C6NR,2.70780949694086,16.3187882049557,2527.9705672004
YL,S2C2NR,300,10.7363611716949,3034.38616954168
YL,S4C2NR,39.1168202779576,10.7363611716949,3034.38616954168
YL,S4C2R,300,10.7363611716949,3034.38616954168
YL,S4C4NR,17.6736041610377,10.7363611716949,3034.38616954168
YL,S6C2NR,26.7858813379976,10.7363611716949,3034.38616954168
YL,S6C2R,300,10.7363611716949,3034.38616954168
YL,S6C4NR,5.29734237684512,10.7363611716949,3034.38616954168
YL,S6C4R,47.4233756920667,10.7363611716949,3034.38616954168
YL,S6C6NR,3.44506913466375,10.7363611716949,3034.38616954168
