Stage,GroupCount,mean_CircSDDeg,mean_MeanAbsDeg,mean_CentralMass,mean_ShoulderMass,mean_TailMass
CDM fixed drift,45,8.67685980268331,6.43383809400732,0.961242122543618,0.0385948044674509,0.000163072988931214
H0a POPCDM,45,31.1837883181071,22.0463871398251,0.652168407311651,0.256162484364978,0.0916691083233713
Observed,45,28.2241914899103,19.9671268603976,0.674107850750888,0.230100937050352,0.0957912121987599
POP in H0a,45,29.6222721871949,20.1747417621039,0.722208887720507,0.18994768289219,0.0878434293873032
POP-only refit,45,31.5011566737948,22.2052276754844,0.655060425296143,0.250591934570771,0.0943476401330852
