uid,Cond,Stage,nObs,CircSDDeg,MeanAbsDeg,CentralMass,ShoulderMass,TailMass
AQ,S2C2NR,Observed,498,19.6708140488435,14.4,0.704819277108434,0.267068273092369,0.0281124497991968
AQ,S2C2NR,POP-only refit,498,19.2875809116623,14.2238090474038,0.712615171885332,0.271607447828685,0.0157773802859834
AQ,S2C2NR,POP in H0a,498,17.6726052766361,12.5642286509819,0.778106093799875,0.209333586692262,0.0125603195078628
AQ,S2C2NR,CDM fixed drift,498,8.22675844315966,6.11440365708025,0.975653628072384,0.0243463433407686,2.85868478196253e-08
AQ,S2C2NR,H0a POPCDM,498,19.4936023286074,14.3000595678493,0.712714125692599,0.271005475121869,0.0162803991855315
AQ,S4C2NR,Observed,498,18.6682742354901,13.3734939759036,0.732931726907631,0.238955823293173,0.0281124497991968
AQ,S4C2NR,POP-only refit,498,19.8248400156388,14.4659460649888,0.710657606998751,0.271250814772605,0.0180915782286444
AQ,S4C2NR,POP in H0a,498,18.1670550514381,12.7729498098573,0.776278319797334,0.209200612445264,0.0145210677574022
AQ,S4C2NR,CDM fixed drift,498,8.31853828615823,6.19238759326058,0.973950171488953,0.026049787086672,4.14243751649786e-08
AQ,S4C2NR,H0a POPCDM,498,19.9809901771725,14.5401873659059,0.709767338230846,0.271883553743577,0.0183491080255768
AQ,S4C2R,Observed,499,16.2761331439005,11.2112224448898,0.80561122244489,0.176352705410822,0.0180360721442886
AQ,S4C2R,POP-only refit,499,19.0759220429707,14.1300353976723,0.713373288119817,0.271745562948863,0.0148811489313198
AQ,S4C2R,POP in H0a,499,17.1143456539327,12.3348455605321,0.780114804615805,0.209479724457552,0.0104054709266429
AQ,S4C2R,CDM fixed drift,499,8.31853828615823,6.19238759326058,0.973950171488953,0.026049787086672,4.14243751649786e-08
AQ,S4C2R,H0a POPCDM,499,19.0288966149004,14.112108545248,0.713226510390354,0.272518262180634,0.0142552274290121
AQ,S4C4NR,Observed,500,30.922531719046,21.8016,0.588,0.304,0.108
AQ,S4C4NR,POP-only refit,500,36.1206158959147,24.25868203304,0.63148790273045,0.256827520926414,0.111684576343136
AQ,S4C4NR,POP in H0a,500,35.2744127684038,22.8114584443008,0.68837096433241,0.2028051749446,0.108823860722991
AQ,S4C4NR,CDM fixed drift,500,8.31853828615823,6.19238759326058,0.973950171488953,0.026049787086672,4.14243751649786e-08
AQ,S4C4NR,H0a POPCDM,500,36.2419960180729,24.3489781822814,0.630505542334707,0.257340151949235,0.112154305716058
AQ,S6C2NR,Observed,499,19.9754836695398,14.3567134268537,0.713426853707415,0.24248496993988,0.0440881763527054
AQ,S6C2NR,POP-only refit,499,20.6252493093106,14.8375059121465,0.70765371888072,0.270703560473654,0.021642720645626
AQ,S6C2NR,POP in H0a,499,19.2826070289556,13.262786061236,0.771988817139359,0.208888542470994,0.0191226403896465
AQ,S6C2NR,CDM fixed drift,499,8.4211839948301,6.27943474163661,0.971976742324062,0.0280231959068135,6.17691244843096e-08
AQ,S6C2NR,H0a POPCDM,499,21.0412754772118,15.059260754182,0.704451450050744,0.272487580650491,0.0230609692987653
AQ,S6C2R,Observed,500,16.971195858465,11.1456,0.824,0.154,0.022
AQ,S6C2R,POP-only refit,500,19.1688042779119,14.1710729411048,0.713041518715633,0.27168512054037,0.0152733607439974
AQ,S6C2R,POP in H0a,500,17.1925384889864,12.3665712060325,0.779836982710389,0.209459512353309,0.0107035049363025
AQ,S6C2R,CDM fixed drift,500,8.4211839948301,6.27943474163661,0.971976742324062,0.0280231959068135,6.17691244843096e-08
AQ,S6C2R,H0a POPCDM,500,19.1441823949226,14.184026948774,0.711510845889861,0.273801324473472,0.0146878296366661
AQ,S6C4NR,Observed,498,37.2478255595734,26.2409638554217,0.556224899598394,0.303212851405622,0.140562248995984
AQ,S6C4NR,POP-only refit,498,41.907452602222,28.6279329465561,0.596164546333871,0.250392241754283,0.153443211911846
AQ,S6C4NR,POP in H0a,498,41.0928828716383,27.2081214674001,0.649869326957217,0.200004103132076,0.150126569910707
AQ,S6C4NR,CDM fixed drift,498,8.4211839948301,6.27943474163661,0.971976742324062,0.0280231959068135,6.17691244843096e-08
AQ,S6C4NR,H0a POPCDM,498,41.946887400342,28.6781255881696,0.594605421311332,0.252045386300683,0.153349192387985
AQ,S6C4R,Observed,499,23.7517220037649,14.8040080160321,0.767535070140281,0.17434869739479,0.0581162324649299
AQ,S6C4R,POP-only refit,499,26.2304554574484,17.784794589591,0.683826264148165,0.26636262748179,0.0498111083700449
AQ,S6C4R,POP in H0a,499,24.9085282383233,16.1142175562637,0.747018793090446,0.20707192283376,0.0459092840757939
AQ,S6C4R,CDM fixed drift,499,8.4211839948301,6.27943474163661,0.971976742324062,0.0280231959068135,6.17691244843096e-08
AQ,S6C4R,H0a POPCDM,499,26.293556603741,17.843938137918,0.681991005979042,0.268307723006425,0.0497012710145332
AQ,S6C6NR,Observed,497,51.3031712730076,37.2893360160966,0.440643863179074,0.283702213279678,0.275653923541248
AQ,S6C6NR,POP-only refit,497,58.3762608073942,42.2772199054826,0.485816425488289,0.230288802098414,0.283894772413297
AQ,S6C6NR,POP in H0a,497,57.2696093714581,40.7221499073079,0.531526797694061,0.191394445321645,0.277078756984295
AQ,S6C6NR,CDM fixed drift,497,8.4211839948301,6.27943474163661,0.971976742324062,0.0280231959068135,6.17691244843096e-08
AQ,S6C6NR,H0a POPCDM,497,57.8854428801765,41.8757806696255,0.488156754917896,0.232235436394758,0.279607808687346
ES,S2C2NR,Observed,498,15.9219075542653,11.4795180722891,0.785140562248996,0.204819277108434,0.0100401606425703
ES,S2C2NR,POP-only refit,498,17.3473921525397,12.555833695902,0.771489958100605,0.217786561498997,0.0107234804003978
ES,S2C2NR,POP in H0a,498,14.1035390160841,9.16105638182482,0.907051377186874,0.0831530172640172,0.00979560554910847
ES,S2C2NR,CDM fixed drift,498,10.093299766612,7.60995936631061,0.931312489274331,0.0685997541736917,8.77565519767485e-05
ES,S2C2NR,H0a POPCDM,498,17.3431402276777,12.4215875415365,0.77974452805663,0.208908780657035,0.0113466912863344
ES,S4C2NR,Observed,499,18.4283665946521,12.6973947895792,0.771543086172345,0.19438877755511,0.0340681362725451
ES,S4C2NR,POP-only refit,499,21.464057188219,14.4176862842777,0.755346517268035,0.216397301800884,0.0282561809310808
ES,S4C2NR,POP in H0a,499,18.455343685685,10.8869201626123,0.889821306149574,0.0847936550337693,0.025385038816657
ES,S4C2NR,CDM fixed drift,499,11.1086839199464,8.3953880134253,0.903861768227202,0.0957139971476822,0.000424234625115535
ES,S4C2NR,H0a POPCDM,499,21.5407188596395,14.6154828884316,0.745190698055139,0.226642311394011,0.0281669905508494
ES,S4C2R,Observed,497,17.6171663493702,11.9951710261569,0.786720321931589,0.187122736418511,0.0261569416498994
ES,S4C2R,POP-only refit,497,19.9534440213438,13.6939955870424,0.761621373840914,0.216937298536311,0.0214413276227755
ES,S4C2R,POP in H0a,497,16.1121588907492,9.90488008534658,0.899625452039375,0.0838601097214983,0.0165144382391265
ES,S4C2R,CDM fixed drift,497,11.1086839199464,8.3953880134253,0.903861768227202,0.0957139971476822,0.000424234625115535
ES,S4C2R,H0a POPCDM,497,19.5705013362975,13.6797259041118,0.753199526990526,0.227469550338128,0.0193309226713458
ES,S4C4NR,Observed,499,28.5051595094217,19.1038076152305,0.657314629258517,0.264529058116232,0.0781563126252505
