index,r,g,b
0,254.99999999999997,128.33117951751768,199.5742321786687
1,254.99999999999997,128.16794085656545,196.79439456563185
2,254.99999999999997,128.02624913700873,194.00131371631412
3,254.99999999999997,127.90649390627924,191.19497452092094
4,254.99999999999997,127.80905304237561,188.37532394841043
5,254.99999999999997,127.7342913361826,185.54226832472986
6,254.99999999999997,127.6825590853057,182.69567034542374
7,254.99999999999997,127.6541907082813,179.83534578607293
8,254.99999999999997,127.64950338816345,176.9610598680598
9,254.99999999999997,127.6687957545422,174.07252323004184
10,254.99999999999997,127.71234661298071,171.1693874470255
11,254.99999999999997,127.78041373070879,168.2512400287249
12,254.99999999999997,127.87323268713395,165.31759881658613
13,254.99999999999997,127.9910157973561,162.36790568394593
14,254.99999999999997,128.13395111639986,159.40151942563435
15,254.99999999999997,128.3022015312836,156.41770770110384
16,254.99999999999997,128.49590394738033,153.41563786780395
17,254.99999999999997,128.71516857475845,150.39436650765487
18,254.99999999999997,128.96007831935216,147.35282740727916
19,254.99999999999997,129.23068828291437,144.28981769975778
20,254.99999999999997,129.5270253747527,141.2039818089047
21,254.99999999999997,129.84908803726123,138.09379275213823
22,254.99999999999997,130.19684608625317,134.95753024919298
23,254.99999999999997,130.57024066609904,131.79325494325624
24,254.99999999999997,130.96918431865248,128.59877785769274
25,254.99999999999997,131.39356116399756,125.37162397001104
26,254.99999999999997,131.8432271901024,122.10898846347484
27,254.99999999999997,132.31801064758426,118.80768378459574
28,254.99999999999997,132.8177125449908,115.46407504635543
29,254.99999999999997,133.34210723925435,112.07400050534221
30,254.99999999999997,133.8909431153312,108.63267270519952
31,254.99999999999997,134.4639433484779,105.13455426442758
32,254.99999999999997,135.06080674215397,101.57319995219221
33,254.99999999999997,135.68120863417943,97.94105325553551
34,254.99999999999997,136.32480186350986,94.22918046327595
35,254.99999999999997,136.99121778982584,90.42691731209004
36,254.99999999999997,137.68006735806847,86.52139061221035
37,254.99999999999997,138.39094220006788,82.49685667550722
38,254.99999999999997,139.12341576552137,78.33376360399923
39,254.99999999999997,139.87704447476014,74.00738342550237
40,254.99999999999997,140.65136888599358,69.48574764883394
41,254.99999999999997,141.44591487004087,64.72640106782409
42,254.99999999999997,142.26019478591812,59.67103335276633
43,254.99999999999997,143.093708651067,54.23601774465887
44,254.99999999999997,143.94594530044733,48.294291724936826
45,254.99999999999997,144.8163835291909,41.636475102070335
46,254.99999999999997,145.70449321399582,33.872229473924726
47,254.99999999999997,146.60973640893948,24.09939262309329
48,254.99999999999997,147.53156841188158,8.839575480456888
49,254.99999999999997,148.46943879812343,0.0
50,254.99999999999997,149.4227924184722,0.0
51,254.99999999999997,150.39107035931957,0.0
52,254.99999999999997,151.3737108628011,0.0
53,254.99999999999997,152.37015020551388,0.0
54,254.99999999999997,153.3798235346795,0.0
55,254.99999999999997,154.4021656609986,0.0
56,254.99999999999997,155.43661180779586,0.0
57,254.99999999999997,156.4825983163513,0.0
58,254.99999999999997,157.539563307609,0.0
59,254.99999999999997,158.60694730069446,0.0
60,254.99999999999997,159.6841937889008,0.0
61,254.99999999999997,160.7707497739924,0.0
62,254.99999999999997,161.8660662598447,0.0
63,254.99999999999997,162.9695987065779,0.0
64,254.99999999999997,164.08080744646247,0.0
65,254.99999999999997,165.19915806296183,0.0
66,254.99999999999997,166.32412173435858,0.0
67,254.99999999999997,167.45517554346543,0.0
68,254.99999999999997,168.59180275495297,0.0
69,254.99999999999997,169.73349306185625,0.0
70,254.99999999999997,170.87974280283288,0.0
71,254.99999999999997,172.0300551517329,0.0
72,254.99999999999997,173.1839402810371,0.0
73,254.99999999999997,174.34091550069635,0.0
74,254.99999999999997,175.50050537386952,0.0
75,254.99999999999997,176.66224181102976,0.0
76,254.99999999999997,177.82566414386093,0.0
77,254.99999999999997,178.99031918032316,0.0
78,254.99999999999997,180.15576124221903,0.0
