"value","trial_type","trial_index","time_elapsed","internal_node_id","experiment","experiment_type","subject_id","unique_id","browser_window_height","browser_window_width","futurestudyAlert","studyresultsEmail","tab_away_count","rt","stimulus","response","trial_event","trial_number","trial_condition","cue_type","set_size","target","duration_ms","is_practice","redundancy","target_orientation","num_items","target_color","target_angle_norotation","target_angle_rotated","rotation","response_radians","response_orientation","response_orientation_360","response_error_deg","response_RT","response_RT_from_start","leave_center_RT","points","too_slow_trigger","too_fast_trigger","started_outof_center","timeout","mouse_movement_rt","mouse_movement_coords","target_patchN","all_patch_angles","all_patch_colors","all_patch_orientations","patch_angles_from_center","patch_imaginary_circle","patch_indiv_size_radius","outer_wheel_radius","inner_wheel_radius","wheel_canvas_height_width"
"","call-function","0","0","0.0-0.0","Daz2026_Encoding_Online_SubExp3","Multiple Features Effect Hypothesis","6067","","920","1470","false","false","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","711","0.0-1.0","Daz2026_Encoding_Online_SubExp3","Multiple Features Effect Hypothesis","6067","","920","1470","false","false","0","710","Excellent! <p> You are now ready to begin the main experiment. <p> Proceed at your own pace. As a rough guideline, the experiment should take under 45mins to complete. <p> When ready, press any key to start the main experiment.","n","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","AdvanceWithPlot","2","1583","0.0-2.0","Daz2026_Encoding_Online_SubExp3","Multiple Features Effect Hypothesis","6067","","920","1470","false","false","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","3","2224","0.0-3.0","Daz2026_Encoding_Online_SubExp3","Multiple Features Effect Hypothesis","6067","","920","1470","false","false","0","640","<div style=""position: fixed; inset: 0; display: flex; align-items: center; justify-content: center; font-size:25px;"">+</div>","n","fixation","1","NR-cue","NR-cue","4","0","250","false","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence-wheel","4","2421","0.0-4.0","Daz2026_Encoding_Online_SubExp3","Multiple Features Effect Hypothesis","6067","","920","1470","false","false","0","","","","orientation_bars_display_event","1","NR-cue","NR-cue","4","0","250","false","null","null","4","null","null","null","0","[]","[]","null","[]","[]","[]","[]","[]","[false]","[false]","[false]","[false]","[]","[]","null","[101,153,153,342]","[[239.816816620643,206.26362884848592,0],[0,246.48013184544493,128.19176117007805],[0,246.48013184544493,128.19176117007805],[254.99999999999997,134.47588775538463,247.19028688092214]]","[150,25,25,91]","[293,23,113,203]","126","25","","","[874,1396]"
"","confidence-wheel","5","2644","0.0-5.0","Daz2026_Encoding_Online_SubExp3","Multiple Features Effect Hypothesis","6067","","920","1470","false","false","0","","","","retention_interval","1","NR-cue","NR-cue","4","0","250","false","null","null","0","null","null","null","0","[]","[]","null","[]","[]","[]","[]","[]","[false]","[false]","[false]","[false]","[]","[]","null","[]","[]","null","[]","114","25","","","[874,1396]"
"","confidence-wheel","6","3722","0.0-6.0","Daz2026_Encoding_Online_SubExp3","Multiple Features Effect Hypothesis","6067","","920","1470","false","false","0","","","","orientation_response_event","1","NR-cue","NR-cue","4","0","250","false","0","150","4","[239.816816620643,206.26362884848592,0]","101","334","[233]","[2.5585962660418238]","[146.59676752212806]","326.59676752212806","[3.4032324778719385]","[66.10000000149012]","[614]","[547.8999999985099]","[96]","[false]","[false]","[false]","[false]","[27,50,76,100,126,151,176,201,226,250,276,301,326,350,376,401,426,451,476,501,526,551,577,601]","[""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(1,-2)"",""(7,2)"",""(43,29)"",""(65,44)"",""(128,85)""]","1","[101,153,153,342]","[[239.816816620643,206.26362884848592,0],[0,246.48013184544493,128.19176117007805],[0,246.48013184544493,128.19176117007805],[254.99999999999997,134.47588775538463,247.19028688092214]]","[150,25,25,91]","[293,23,113,203]","114","25","227","197","[874,1396]"
"","AdvanceWithPlot","7","4426","0.0-7.0","Daz2026_Encoding_Online_SubExp3","Multiple Features Effect Hypothesis","6067","","920","1470","false","false","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","8","4564","0.0-8.0","Daz2026_Encoding_Online_SubExp3","Multiple Features Effect Hypothesis","6067","","920","1470","false","false","0","137","<div style=""position: fixed; inset: 0; display: flex; align-items: center; justify-content: center; font-size:25px;"">+</div>","n","fixation","2","R-cue","R-cue","4","1","250","false","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence-wheel","9","4774","0.0-9.0","Daz2026_Encoding_Online_SubExp3","Multiple Features Effect Hypothesis","6067","","920","1470","false","false","0","","","","orientation_bars_display_event","2","R-cue","R-cue","4","1","250","false","null","null","4","null","null","null","0","[]","[]","null","[]","[]","[]","[]","[]","[false]","[false]","[false]","[false]","[]","[]","null","[343,63,63,18]","[[254.99999999999997,133.99669992615298,244.67779680199263],[254.99999999999997,162.9695987065779,0],[254.99999999999997,162.9695987065779,0],[254.99999999999997,128.96007831935216,147.35282740727914]]","[10,78,78,139]","[83,353,173,263]","126","25","","","[874,1396]"
"","confidence-wheel","10","5000","0.0-10.0","Daz2026_Encoding_Online_SubExp3","Multiple Features Effect Hypothesis","6067","","920","1470","false","false","0","","","","retention_interval","2","R-cue","R-cue","4","1","250","false","null","null","0","null","null","null","0","[]","[]","null","[]","[]","[]","[]","[]","[false]","[false]","[false]","[false]","[]","[]","null","[]","[]","null","[]","114","25","","","[874,1396]"
