ID,Session,Session_z,SessionPhase,CueType,Duration,Duration_ms,Grouping,AbsErr,SignedErr,RT,logRT
YILIU,2,-1.21868993799503,Early,R,350ms,350,Separated,9.22978420279981,9.22978420279981,1110.29140000028,7.01237778237615
YILIU,2,-1.21868993799503,Early,R,200ms,200,Separated,17.4816057940293,17.4816057940293,2083.57160000014,7.64183881552288
YILIU,2,-1.21868993799503,Early,NR,350ms,350,Separated,38.2538379503964,-38.2538379503964,1605.20370000449,7.38100594340163
YILIU,2,-1.21868993799503,Early,NR,200ms,200,Separated,102.487997376149,-102.487997376149,1288.35840000102,7.16112412882728
YILIU,2,-1.21868993799503,Early,R,250ms,250,Separated,31.979999596311,31.979999596311,1239.71310000343,7.12263526086371
YILIU,2,-1.21868993799503,Early,NR,250ms,250,Separated,157.923988443631,157.923988443631,1688.70890000107,7.43171955145112
YILIU,2,-1.21868993799503,Early,R,250ms,250,Grouped,2.63070227580843,-2.63070227580843,1310.47660000331,7.17814616682634
YILIU,2,-1.21868993799503,Early,R,250ms,250,Separated,2.46256177363711,2.46256177363711,2229.45759999857,7.70951360616907
YILIU,2,-1.21868993799503,Early,NR,50ms,50,Separated,36.9299693469589,36.9299693469589,2700.29519999662,7.90111637934805
YILIU,2,-1.21868993799503,Early,R,200ms,200,Separated,1.25887218218068,-1.25887218218068,1150.83210000012,7.04824052492768
YILIU,2,-1.21868993799503,Early,NR,300ms,300,Separated,166.13464249226,166.13464249226,1804.9874999997,7.49830894553508
YILIU,2,-1.21868993799503,Early,R,200ms,200,Grouped,28.1859251657096,28.1859251657096,1934.13500000315,7.56741547709475
YILIU,2,-1.21868993799503,Early,NR,250ms,250,Separated,45,45,1781.26440000051,7.4850787281951
YILIU,2,-1.21868993799503,Early,NR,100ms,100,Separated,64.634461076659,64.634461076659,1679.25670000113,7.42610653401612
YILIU,2,-1.21868993799503,Early,NR,250ms,250,Separated,6.42580924971469,6.42580924971469,1163.43359999883,7.05913091192503
YILIU,2,-1.21868993799503,Early,R,200ms,200,Separated,9.61302782308451,9.61302782308451,2177.44170000515,7.6859059345474
YILIU,2,-1.21868993799503,Early,NR,150ms,150,Separated,18.2417529092681,18.2417529092681,1214.70069999486,7.10225298797581
YILIU,2,-1.21868993799503,Early,NR,100ms,100,Separated,172.718788877452,172.718788877452,1738.71549999603,7.46090190119812
YILIU,2,-1.21868993799503,Early,R,250ms,250,Grouped,11.3210408626289,11.3210408626289,1437.29519999761,7.27051829295487
YILIU,2,-1.21868993799503,Early,NR,100ms,100,Separated,17.8497620716493,17.8497620716493,1236.34750000201,7.11991674737164
YILIU,2,-1.21868993799503,Early,NR,200ms,200,Separated,18.415131141888,18.415131141888,1228.80379999697,7.11379645483408
YILIU,2,-1.21868993799503,Early,NR,300ms,300,Separated,19.5551814329488,19.5551814329488,1455.10680000007,7.2828345789737
YILIU,2,-1.21868993799503,Early,NR,200ms,200,Separated,15.0091767080139,15.0091767080139,1682.7970000013,7.4282125689725
