ID,CueType,estimate,lower,upper,boot_se,excludes_0
AQ,NR,15.91202283322923,1.2017327708041332,31.62060137824302,7.797198469485797,TRUE
AQ,R,7.872202603389766,-3.646060592004076,18.549816789695367,5.637161841285603,FALSE
HC,NR,10.128677354705658,-4.73264518216632,25.658560292599677,7.768341095563835,FALSE
HC,R,18.88757262102804,6.602571688655801,30.88748836606804,6.163561708638046,TRUE
YILIU,NR,21.31145508937785,5.522102279501582,38.90460366382166,8.48935306468397,TRUE
YILIU,R,13.905081330889898,6.6976371922967095,20.342360574090456,3.487403429514717,TRUE
