ID,CueType,DurationF,Duration_ms,short_duration,median,lower,upper,p_gt_0,p_lt_0,p_in_rope
AQ,NR,short_mean,NA,TRUE,3.2907295348178085,-1.5887495510733944,7.928076071772332,0.91025,0.08975,0.448375
AQ,R,short_mean,NA,TRUE,2.9536054775700706,-0.13562426080237341,5.978977319560193,0.968625,0.031375,0.512875
HC,NR,short_mean,NA,TRUE,0.19798385000739463,-4.0583533618494565,4.2786783624251195,0.5325,0.4675,0.837625
HC,R,short_mean,NA,TRUE,0.9112973374311667,-2.757890878165529,4.442233655462302,0.690375,0.309625,0.854625
YILIU,NR,short_mean,NA,TRUE,1.3406174591239306,-2.221625143829101,4.793378301448985,0.774,0.226,0.8175
YILIU,R,short_mean,NA,TRUE,1.666770887088882,-0.5792081841501263,3.9148849601037865,0.9255,0.0745,0.875875
