ID,n_trials,logLik_k_free,logLik_k_tied,k_free,k_tied,BIC_k_free,BIC_k_tied,AIC_k_free,AIC_k_tied,delta_BIC_free_minus_tied,delta_AIC_free_minus_tied,BIC_winner,AIC_winner,kappa_tied_NR,kappa_tied_R,convergence_tied
AQ,4200,-3220.488607124402,-3234.1631553439556,42,30,6791.376486028205,6718.6115048160555,6524.977214248804,6528.326310687911,72.7649812121499,-3.3490964391075977,k_tied_2,k_free_14,4.895970204903356,14.857790673609218,0
HC,4200,-3233.4012632213394,-3249.5616797698376,42,30,6817.2017982220805,6749.408553667819,6550.802526442679,6559.123359539675,67.79324455426104,-8.320833096996466,k_tied_2,k_free_14,5.029166697118826,10.581044903172684,0
YILIU,4199,-2365.4631093623852,-2391.67169776031,42,30,5081.315489313507,5033.621445941146,4814.9262187247705,4843.34339552062,47.69404337236119,-28.417176795849628,k_tied_2,k_free_14,8.109435233291611,32.31291143974851,0
