ID,CueType,DurationF,kappa,beta,gamma,p_target
AQ,NR,50ms,4.895970204903356,0.1483579356485142,0.1385520158490945,0.7130900485023913
AQ,NR,100ms,4.895970204903356,0.08080489623182181,0.14968005662917697,0.7695150471390012
AQ,NR,150ms,4.895970204903356,0.13905358517651273,0.17775263299252383,0.6831937818309635
AQ,NR,200ms,4.895970204903356,0.08448202660224467,0.17484216754109527,0.74067580585666
AQ,NR,250ms,4.895970204903356,0.04405695223940781,0.22206009892135048,0.7338829488392417
AQ,NR,300ms,4.895970204903356,0.17295639706289737,0.011913008173225733,0.815130594763877
AQ,NR,350ms,4.895970204903356,0.09300596287882604,0.07604879559251208,0.8309452415286619
AQ,R,50ms,14.857790673609218,0.020691495017191024,0.04414144904510686,0.9351670559377021
AQ,R,100ms,14.857790673609218,0.03135106827791234,0.06301136164410381,0.9056375700779838
AQ,R,150ms,14.857790673609218,0.009028527665770902,0.04670339404275727,0.9442680782914719
AQ,R,200ms,14.857790673609218,0.015066334453037913,0.026235028822841414,0.9586986367241206
AQ,R,250ms,14.857790673609218,0.0014428970267786074,0.018694707666480227,0.9798623953067412
AQ,R,300ms,14.857790673609218,3.9759041707597214e-10,0.036710112662778106,0.9632898869396315
AQ,R,350ms,14.857790673609218,0.027256496545518732,3.108470551116345e-9,0.9727435003460106
HC,NR,50ms,5.029166697118826,0.10996104824861065,0.11115842377447274,0.7788805279769166
HC,NR,100ms,5.029166697118826,0.05893011198630115,0.12294777536893178,0.8181221126447671
HC,NR,150ms,5.029166697118826,3.503893702690597e-13,0.22530654330008335,0.7746934566995662
HC,NR,200ms,5.029166697118826,0.14585530457148232,0.005803994690072239,0.8483407007384455
HC,NR,250ms,5.029166697118826,2.9089886189137826e-18,0.15317733254249208,0.8468226674575079
HC,NR,300ms,5.029166697118826,0.07349733670633683,0.010193047522068562,0.9163096157715946
HC,NR,350ms,5.029166697118826,0.12147633330682929,0.05274183299263303,0.8257818337005377
HC,R,50ms,10.581044903172684,0.03923705227317445,0.035541487240374744,0.9252214604864508
HC,R,100ms,10.581044903172684,0.013410019186777731,0.06908751998986896,0.9175024608233533
HC,R,150ms,10.581044903172684,4.075633661356448e-11,0.040693326651791976,0.9593066733074518
HC,R,200ms,10.581044903172684,0.012380015010190695,0.02507997914864479,0.9625400058411645
HC,R,250ms,10.581044903172684,8.399101102342487e-89,0.005455888005709699,0.9945441119942903
HC,R,300ms,10.581044903172684,0.013372367073883859,0.039632690479014646,0.9469949424471015
HC,R,350ms,10.581044903172684,0.015195600197621523,0.01951675458298459,0.9652876452193938
YILIU,NR,50ms,8.109435233291611,0.266106340997234,0.03586739944714663,0.6980262595556194
YILIU,NR,100ms,8.109435233291611,0.09683358868269801,0.2724005605376697,0.6307658507796323
YILIU,NR,150ms,8.109435233291611,0.13836896451801795,0.20753011323530943,0.6541009222466726
YILIU,NR,200ms,8.109435233291611,0.2195096832062989,0.10001310981538944,0.6804772069783116
YILIU,NR,250ms,8.109435233291611,0.10862242275735792,0.20818370340571182,0.6831938738369303
YILIU,NR,300ms,8.109435233291611,0.15356703864608595,0.1164235101560476,0.7300094511978665
YILIU,NR,350ms,8.109435233291611,0.10956216868305892,0.18408985293235833,0.7063479783845827
YILIU,R,50ms,32.31291143974851,0.009173881874856083,0.08370865836119466,0.9071174597639492
YILIU,R,100ms,32.31291143974851,0.012455460844296176,0.06876059677356727,0.9187839423821366
YILIU,R,150ms,32.31291143974851,7.533173336173638e-4,0.043697646343311906,0.9555490363230708
YILIU,R,200ms,32.31291143974851,0.00492259439180688,0.045786712206055076,0.949290693402138
YILIU,R,250ms,32.31291143974851,0.01306926623647659,0.028917348555147496,0.9580133852083759
YILIU,R,300ms,32.31291143974851,1.6395842228400984e-9,4.718265828824327e-9,0.99999999364215
YILIU,R,350ms,32.31291143974851,0.01176526686299286,0.020390879525299343,0.9678438536117078
