ID,n_trials,logLik_14k,logLik_2k,k_14k,k_2k,BIC_14k,BIC_2k,AIC_14k,AIC_2k,delta_BIC_14_minus_2,delta_AIC_14_minus_2,BIC_winner,AIC_winner
AQ,4200,-3735.7327931347922,-3808.7036664084317,14,2,7588.265343529385,7634.093012425406,7499.4655862695845,7621.407332816863,-45.82766889602135,-121.94174654727885,14k,14k
HC,4200,-3655.423110044648,-3726.36282726418,14,2,7427.645977349097,7469.411334136903,7338.846220089296,7456.72565452836,-41.76535678780601,-117.87943443906352,14k,14k
YILIU,4199,-3243.6539245235763,-3340.8384749100683,14,2,6604.104272576731,6698.362153181505,6515.307849047153,6685.6769498201365,-94.25788060477407,-170.36910077298398,14k,14k
