ID,CueType,DurationF,kappa,beta,gamma,p_target
AQ,NR,50ms,3.270643595683557,0.2030834824936113,7.88932611691502e-6,0.7969086281802717
AQ,NR,100ms,4.520566454315768,0.07586321339820269,0.14448339713819494,0.7796533894636024
AQ,NR,150ms,5.4410134544295214,0.13733192982419165,0.19455306416341367,0.6681150060123947
AQ,NR,200ms,5.282384767772448,0.08113884110897107,0.18903923594467717,0.7298219229463517
AQ,NR,250ms,5.44954037771163,0.04010859852901043,0.23962462350689664,0.720266777964093
AQ,NR,300ms,5.359797960840142,0.1778714189997269,0.01693611588425389,0.8051924651160192
AQ,NR,350ms,5.170057536915758,0.09032510690913864,0.08536015573712655,0.8243147373537348
AQ,R,50ms,12.259064246029512,0.02460540997828251,0.03006406622477802,0.9453305237969396
AQ,R,100ms,12.94341477246089,0.03846417234468372,0.04420888489864776,0.9173269427566686
AQ,R,150ms,13.95051003949886,0.01055482475042324,0.04128794232959853,0.9481572329199782
AQ,R,200ms,17.19773866675788,0.01656483774808572,0.03118186142683012,0.9522533008250842
AQ,R,250ms,20.497202365901877,4.8230524867551983e-14,0.02985665425927459,0.9701433457406772
AQ,R,300ms,13.728668483673331,3.7710713034049283e-14,0.03375891321278325,0.966241086787179
AQ,R,350ms,14.992669604429556,0.02761202313532539,9.627571363679992e-17,0.9723879768646744
HC,NR,50ms,3.793876024472018,0.12325569104672209,0.04376454004006092,0.832979768913217
HC,NR,100ms,5.195240291906422,0.05713454339082836,0.1285759119282065,0.8142895446809651
HC,NR,150ms,3.980556729383248,3.5031619219070563e-6,0.18890967154917657,0.8110868252889015
HC,NR,200ms,4.400975307143002,0.13574869434905432,1.1709899304506552e-6,0.8642501346610152
HC,NR,250ms,3.8025339902642736,3.4357548531076266e-11,0.10501772552448714,0.8949822744411553
HC,NR,300ms,7.014551939658345,0.07679264867217195,0.02799659012629135,0.8952107612015368
HC,NR,350ms,6.86998117862899,0.11560584710413802,0.09618140736550114,0.7882127455303608
HC,R,50ms,9.041572763202064,0.04042309135972678,0.02931166363072886,0.9302652450095444
HC,R,100ms,11.715303030086542,0.00655159358201828,0.08616557304183416,0.9072828333761476
HC,R,150ms,10.24494780993973,7.310600864010744e-13,0.03868616433688381,0.9613138356623852
HC,R,200ms,10.700932553473926,0.01184973481452059,0.02609861881480063,0.9620516463706787
HC,R,250ms,12.483956632981192,1.176790160229726e-15,0.00720865139815222,0.9927913486018466
HC,R,300ms,10.099582176006754,0.01487881678661128,0.03490674778155563,0.950214435431833
HC,R,350ms,10.643207774787657,0.01527690814038526,0.01958764675239887,0.9651354451072158
YILIU,NR,50ms,6.299005949323879,0.27013028420712604,7.706383726671172e-7,0.7298689451545013
YILIU,NR,100ms,5.215246228600848,0.11110609000630488,0.1956401774324301,0.6932537325612651
YILIU,NR,150ms,7.895533000086953,0.14183914820650845,0.20097395814422153,0.65718689364927
YILIU,NR,200ms,8.874398707547295,0.21661377618229732,0.1126401182239689,0.6707461055937338
YILIU,NR,250ms,16.713209563195843,0.0890343643415956,0.29142035997046517,0.6195452756879392
YILIU,NR,300ms,10.11078697073967,0.1485618410212061,0.14101817182215975,0.7104199871566341
YILIU,NR,350ms,7.370426073127045,0.1134891740701478,0.1690088509405239,0.7175019749893283
YILIU,R,50ms,25.048485714263357,0.00483721351059738,0.0732820885003393,0.9218806979890632
YILIU,R,100ms,27.42210876305779,0.01403727317710704,0.05670603138012728,0.9292566954427656
YILIU,R,150ms,27.51991602799417,0.00116716894281053,0.03794014816058406,0.9608926828966052
YILIU,R,200ms,39.016774874324184,0.00320581731121012,0.05098518428039762,0.9458089984083922
YILIU,R,250ms,37.163147086363246,0.01313706749225791,0.03309015753563103,0.953772774972111
YILIU,R,300ms,30.712278544022507,4.862956822280775e-9,1.4203037854035198e-8,0.9999999809340052
YILIU,R,350ms,41.08733408148324,0.01184451628335326,0.02657945379141131,0.9615760299252354
